stars,review_body,review_title,product_category
1,Nada bueno se me fue ka pantalla en menos de 8 meses y no he recibido respuesta del fabricante,television Nevir,electronics
1,"Horrible, nos tuvimos que comprar otro porque ni nosotros que sabemos inglés, ni un informático, después de una hora fue capaz de instalarlo",Dinero tirado a la basura con esta compra,electronics
1,Estoy esperando despues de protestar varias veces pero veo que no hay solucion y no haceis caso me dicen de un reembolso pero yo quiero el auricular,No me llego,electronics
1,"Desastroso, no tiene ni un año y ha dejado de funcionar por completo y Amazon no me da la opción de devolverlo Esto es un timo!!!.",HA DEJADO DE FUNCIONAR,electronics
1,"Muy mala calidad, la junta es de plástico duro y entra con dificultad. A la primera se despegó la chapa plateada. La he pegado con pegamento, haber si hace apaño.",Junta de plástico no de goma,electronics
1,"Vale que es barato, yo lo compré como teléfono auxiliar para casa, ya que no tengo línea fija. La batería no dura nada, aún sin usarlo no dura más de un día y cada vez que se quiere usar se abre publicidad que no hay manera de sacar, entre eso y lo que tarda en abrir cualquier aplicación, mejor que no tengas que llamar para una urgencia, ya que desde que coges el teléfono hasta que consigues marcar un nº, fácil pasan un par de minutos. En definitiva, un asco. No lo devuelvo porque ha pasado el periodo de devolución","malo, malo, maloooooo",electronics
1,Volumen de sonido muy bajo y escaso de frecuencias graves Para nada lo que yo esperaba de esta marca,No los recomiendo,electronics
1,"Como digo, llegó pronto, sin novedad y perfectamente embalado, todo bien hasta que le puse las pilas: no funcionaba en absoluto, solo un pequeñísimo ""click"" al ponerlo en marcha pero nada más. Compruebo pilas mediante tester, compruebo no haber puesto alguna invertida, todo correcto. Vuelvo a ponerlo en marcha, mismos resultados, un débil ""click"" al encender y silencio total. Quito las pilas y hago uso del cable de alimentación de red, mismo resultado:el mínimo ""click"" de cuando la pilas pero nada más. Desilusionado no me quedó más remedio que embalarlo cuidadosamente y devolverlo al dia siguiente a Amazon del cual se hizo cargo inmediatamente. La marca Grundig me merece todos los respetos del mundo, ya que la considero una de las mejores marcas, pero en este caso falló estrepitosamente.","Llegó pronto, eso sí pero mal...",electronics
1,"No comprendo muy bien porque me sale que deje mi opinion si no me ha llegado el articulo. Eso sí Amazón me ha devuelto el dinero. El compraro me pidio por mail que levantara la queja, cosa que no he hecho.",No llegó,electronics
1,"No ha funcionado bien nunca ,se va la señal no se conecta mala compra",No funciona,electronics
1,"HOLA LA BATERIA FUNCIONA, Y TAMBIEN DEJA DE FUNCIONAR. EL ORDENADOR SE APAGA INESPERADAMENTE Y ME PERJUDICA EN EL TRABAJO YA Q TRABAJO CON EL ORDENADOR. HE CONTACTADO CON EL VENDEDOR PERO NADA QUE APARECE",MUY MALA,electronics
1,"He recibido un correo en el que se indicaba que estaban pendientes de recibir el producto, cuando este fue recogido por correos y enviado conjuntamente con el reloj y cada uno en su caja tal y como lo enviaron. Ruego que revisen en sus archivos y devoluciones por que tienen que tenerlo devuelto, pues también me enviaran un correo indicando que habían recibido la devolución. Gracias",Urgente,electronics
