stars,review_body,review_title,product_category
1,Nunca llego el pedido y el vendedor pasa de todo no contestan,No llego nunca,sports
1,"No sé como es, porque debería haber llegado ayer día 9 de marzo, y hoy 10 por la noche sigo esperando que llegue el frontal. Y me habéis mandado el formulario de opinión. Pues de momento mala no ha cumplido con la fecha de entrega.",Todavía no ha llegado,sports
1,"Guantes cómodos, no lo niego, pero de mala calidad. Yo creo que en caso de caída no valdrian para mucho, dos meses de uso y se están rajando.",Guantes de baja calidad,sports
1,Hasta hoy no he visto el producto. El pedido hace ya casi 1 mes. Y notifico que he usado PRIME para está compra.,Muy Mala experiencia,sports
1,"No puedo valorarla porque, después de casi una semana, aún no he recibido mi pedido. Pienso que amazon tendría que valorar las compañías de transporte con que trabaja, porque es indignante que pague mi cuota prime y nunca reciba mi pedido el día que toca",Paquete perdido?,sports
1,Ha llegado con solo 1 tornillo valla estafa,Fatal,sports
1,La talla es pequeña. Pone L o Xl pero es una M.,Talla no corresponde,sports
1,Lo estrene hoy cargado y se me enciende y apaga,"De momento nada ,falla",sports
1,"Tenía buena pinta y buen precio, pero en menos de una semana ya tenía roturas en la red de protección. En dos semanas se rompió la cremallera de entrada. Lástima, la he tenido que devolver.",Red de mala calidad.,sports
1,Llegaron rotas hable con vendedor y me dijo de enviarme otras acepte y al poco desapareció el pedido . Menos mal que el importe pagado se devolvió.,No vuelvo a comprar,sports
1,"Acabo de descubrir que el transportista me hace perdidas para justificar que intenta entregarme el paquete y como no puedo hacer nada, pues os planto una estrellita.",Mal servicio.,sports
1,"tras dos semanas de uso se despega el plástico y no se puede ver la pantalla, confio que es defecto fabrica y le doy otra oportunidad y pido otro",descripción correcta,sports
1,Malísimo las intervenciones solo en chino. Y no noto absolutamente nada. No lo aconsejo para nada. Lo pedí por confusión,Isa,sports
1,En menos de 2 meses ha dejado de funcionar,Solo ha funcionado 2 meses,sports
1,"2 meses esperando el pedido, me escribieron diciendo que me enviaban otro, otro mes más y sin saber nada, ahora intentando que me devuelvan el dinero y tampoco hay manera. No os aconsejo que compréis para esta empresa la verdad.",Estafa de empresa,sports
1,"Demasiado finas, parecen papel de fumar. No lo recomiendo para protegerse del frio",No sirven para protegerse del frio,sports
1,Una pala que tiene máximo 4 partidos jugados por mi novia (ella es principiante) y ya de ha rajado por varios sitios. No merece la pena haberla comprado.,Se raja al 3° partido,sports
1,Se rompieron el primer dia,muy malos,sports
1,"Hola Una vez más me ha engañado la foto, he recibido 3 pulseras de reloj. Pésimo, estoy defraudado",Toni,sports
1,Podré valorar el traje de baño cuando lo reciba puesto qué sigo esperando,No llegó,sports
1,"Este producto se cae a trazos y ahora ni funciona, se lo regale a mi pareja hace menos de un año para que se fuera al trabajo y ahora ni funciona.",Una caca,sports
1,Producto de calidad justita y mal embalado con roces y desconchados. Envío sin seguimiento por parte del fabricante que luego se desentiende. Muy decepcionado con el trato.,Producto de calidad justita y mal embalado con roces y desconchados.,sports
1,"no dura nada las resistencias, se funden enseguida, no comprar, 3 usos le he podido dar ... penoso me siento estafado",malisimo,sports
1,No sincroniza ni con la aplicación que se supone que hay que descargar por lo que ni siquiera lo puedes poner en hora. El resto de funciones parece que bien pero sin sincronización no sirve de nada. Lo devolví.,No sincroniza,sports
1,El pedido llego a tiempo...pero faltan algunas piezas como la bandeja de herramientas,Caballete bici,sports
1,"No me a gustado, pensaba que era más cómodo.",Y viene sin inflador.,sports
1,A los pocos meses empezo a pelarse y quedarse fea.,Pierde la pintura roja,sports
1,"No sé si solo me pasa a mi, pero no soy capaz de dar con la banda adecuada. No es como me lo esperaba que es otra cosa , pero no va con mi Reloj.","Mal , sin más",sports
1,No me lo habéis enviado,Mal servicio,sports
1,Deja mucho que desear. El pulso lo detectaba fatal y no servía para entrenar. La tuvimos que devolver. Perfecto por Amazon,Víctor,sports
1,No encaja bien en manillar y se sale,Samurai tubeless,sports
1,"En principio bien hasta que se dio una ducha, he dicho ducha, se ahogó",Lo barato aveces sale caro,sports
1,"Me han llegado unas gafas que nada tienen que ver con lo que pedí, hago la devolución, y no me mandan la etiqueta de devolución para imprimir y adjuntar con paquete. Solo espero que el mensajero que tiene que venir a recojer el producto en máximo dos días no llegue antes de que me envíen la dichosa etiqueta",Decepcionado,sports
1,"Buen producto en sí pero me siento estafado ya que la potencia maxima no es de 5W como se muestra en las fotos, si no de 4W.",Me siento engañado,sports
1,Se me ha partido el muelle en la parte superior donde agarra al plástico. Es una pena lo usaba varios días a la semana y no me ha durado mucho.,Se ha roto el muelle!,sports
1,"Es de pésima calidad, ate a mi mascota, tiro de la cuerda y esta cedió, el gancho de metal se salió de de la correa, y el perrito escapó y anduvo suelto, no me quiero imaginar que hubiese pasado si hubiese ocurrido en un lugar transitado por coches, podría ser digno de una demanda",Pésima calidad,sports
1,"Fatal el tallaje. El pantalón es ajustado en la pierna, muy ancho en la cintura y corto de pernera, vamos, un fiasco de tallaje y he tenido que devolverlo, pagando gastos de envío, encima de todo.",Mal tallado,sports
1,"Un desastre,desde el 20 de Diciembre decia que habia llegado",Almudena Molto,sports
1,No se parece en nada al producto hace su función perooooo yo no las compraría,No comprar muy muy malas,sports
1,El vendedor es un estafador,No lo compres,sports
1,Fatal no han sido capaces de llegar con el envio Y no me querian hacer la devolucion del importe,Fatal,sports
1,No conseguimos sentarnos porque no conseguimos que entrara el aire suficiente. O es imposible conseguir que se pueda inflar. Compra no recomendada. Muy mona la chica de la foto pero creo que sólo funcionaría en tarifa!,Imposible hinchar el sofa,sports
1,"La suspensión delantera es una estafa, no tiene casi recorrido para amortiguar el golpe y no sirve para nada, es como si no tuviera. Me siento estafado. Ya puede tener frenos de disco o suspension trasera que si no tiene una buena suspensión delantera, es un fiasco de bici.",Suspensión delantera horrible,sports
1,"La mesa no acaba de estar recta al abrirla puesto que tiene la zona central doblada. Hay que ""forzarla"" para que quede recta... No la devuelvo porque la llevé de viaje y la tuve que utilizar pero producto defectuoso o de mala calidad.",No queda recta,sports
1,Se estropeó ese mismo dia,Muy mal,sports
1,Al mes se le salió el cristal,Mal,sports
1,"Los guantes, están bien Pero de una primera puesta se me an roto Donde el belcro Que solución me pueden dar ????",Toñi,sports
1,"embalaje muy malo, después de comprar en otros vendedores este es pésimo... no viene separado por tamaño... todo junto.",mala presentación,sports
1,"El producto aguantó en funcionamiento 3 minutos contados y echó a arder, de malisima calidad yo lo quería para darle pocos usos ya que yo tengo un horno mejor y ni un uso me dió",Jesús,sports
1,Después de un mes aún no ha llegado NO SE DEBE ABONAR POR ADELANTADO CUANDO UN PEDIDO TSE ENTREGA EN UN MES,La falta de protección que tiene el cliente con ustedes cuando ocurren estas situaciones,sports
1,Mala calidad en la fábricacion los tornillos de cuelan por los agujeros y el vendedor no me quiere mandar otro dice q se a roto en el trasporte y viene así de fabricación pero es mejor echarle la culpa a otros,Mala calidad de fabricación,sports
1,La tiré a la basura porque olía a oxidado. No había forma de quitarle el olor. Daba miedo beber agua de ahí. Mala compra.,Botella oxidada,sports
1,Ha venido muy pequeño no era una talla L parecía más una xxs,Xx,sports
1,"Me lo compré para darle uso en la playa y por qué en la foto se veía robusta....el caso que he ido a la playa con un poquito de viento, nada exagerado...una odisea para montarla....dos personas pasándolas canutas...levantabas de un lado y se iba de otro...un desastre....luego la tela muy mala y fina...al poner los vientos las costuras no tiene pinta de aguantar a la larga de hecho una se descosido un poco...los tubos uno se torció al caerse la carpa hacia un lado al ponerla de pie...conclusión....una mala compra para el precio que tiene...lo he mandado a devolver..... Le pongo una estrella por qué me obligan a ponerla si no no le pondría ninguna",Mala experiencia,sports
1,Pues esperaba una mayor calidad del producto la verdad. Lo recibí ayer y el belcro que de una de las asas se ha descosido en el primer uso. Yo recomendaría otro corrector en lugar de este,Juan,sports
1,"Muy endeble , no se ajusta",Blanda y mal ajuste,sports
1,"Muy mala compra. No hice caso a los comentarios y eran ciertos: los materiales plásticos son de mala calidad y el diseño pésimo. La tapa no cierra bien y no ofrece ningún tipo de estanqueidad al Core o las pilas. No aguantaría ni un poquito de humedad. Tiene pinta de muy frágil y viene sin cargador para el Core. He tenido otras petzl antes y eran de mejor calidad y acabados. Encima, como he abierto la caja no me devuelven todo el dinero. Un gran error comprar este tipo de productos en Amazon.",Muy mala compra.,sports
1,"El producto venía con la caja rota, como de haberla abierto para ver lo que hay dentro. Además de que la botella está partida, y las bolas se han salido por toda la bolsa. Ha venido por correos express.",Producto dañado,sports
1,"Todavía no me a llegado y en teoría me tendría que haber llegado el 21 de diciembre,donde está mi pedido",Donde esta mi pedido??,sports
1,"El reloj es perfecto, pero me llegó con 5 días de retraso.",.,sports
1,He comprado de otras marcas y éstos me han decepcionado. Lo mejor que puedo decir de ellos es que pegan bien pero dejan residuo al despegarlos y el olor no dura más de 3 horas,Mala calidad,sports
1,Pedido no ha encontrado la dirección,Si evaluar,sports
1,"Son demasiado pequeños para ser de adulto, no cubre las últimas muelas. Quitado el que moldee los voy a devolver.",Pequeño para adulto,sports
1,Muy pequeños para una M.,Es una pena,sports
1,Voy a devolverlo ya que la pulsera no carga. No he podido ni probarla. Una pena. Espero que corrijan estos problemas.,Ni he podido estrenarlo.,sports
1,"Mala calidad, no me a durado ni un mes y se a roto como a otros q han opinado, la asamblea se a desilachado y la cremalleras se a roto.",No dura ni un mes!,sports
1,"Después de un mes, supuestamente enviado, pregunté y, lo solucionaron cancelando el pedido. Un regalo fastidiado sin tiempo de reacción.",Un mes esperando y nunca vino,sports
1,"Son muy cortos y en la fotografía no me pareció que tanto, solo podré llevarlos en verano pero por lo demás son bonitos",Olga,sports
1,"La he usado 4 veces. Aún sabe el agua a plástico, no se le quita el sabor por mucho que le haya echado agua. La mochila se está deshilachando y la sujeción de las cuerdas elásticas cruzadas ya se ha roto por lo que las cuerdas elásticas ya no sirven para nada. Una tira que sujeta el tubo del camelback tb se ha roto... como se puede tramitar garantía aquí? Amazon ya no me permite",Una porqueria,sports
1,Me lo esperaba de otra manera y quiero devolverlo porque no es la medida adecuada,Devolución,sports
1,"Durante dos meses ha ido fantásticamente, pero de repente ha dejado de sincronizarse con el móvil. He escrito mensajes al vendedor pero no he recibido respuesta. Necesito la factura y la garantia para poder hacer algo. Estoy en proceso. Me había encantado el reloj, pero no lo he comprado para que me dure 2 meses. Estoy decepcionada. Si alguien sabe como ayudarme lo agradeceré!",2 meses de perfecto uso y se acabó,sports
1,No muy buena la experiencia me tarde mas de un mes y medio en llegar,Mala,sports
1,"Doy una estrella por no poder dar menos. Pésimo diseño, 3 fuimos los que la compramos y a los 3 nos entraba el agua a la altura de los ojos apenas sumergirnos. Vergüenza de producto.",NO LA COMPRÉIS,sports
1,No ponía que no traía cargador,Cargador,sports
1,Con marcas de uso muy notables.... usado. En la indicación del producto lo definía como reacondicionado no como usado y con marcas evidentes de uso.,Lo he adquirido como producto reacondicionado y es de segunda mano. Producto ya usado,sports
1,Entra mucho frio por toda la tienda pero mas por donde estan situadas las ventanas. No puedo usarla. A parte la funda estaba rota. La devolví 😔,No protege del frio,sports
1,"Para natación bien, pero pensé que serían más gorditos. Escurren un poco",Esta bien por el precio,sports
1,"Producto carísimo, más barato en otras tiendas.",UN ENGAÑO TOTAL,sports
1,puede valer para acampar en verano pero en sitios fríos no abriga demasiado.,Mala calidad,sports
1,"Muy mala calidad, no funciona, lo he tenido que devolver. El puente interior de las pilas hace mal contacto entre las pilas","Mala calidad, no funciona.",sports
1,"Lo único que mide bien es la hora, lo demás un desastre a excepción de la tensión arterial que no he podido comparar si es correcta pero viendo como mide las pulsaciones de mal dudo mucho que sea correcta. Además el vendedor admite que como es barato no es fiable y ofrece a cambio otro de categoría superior más caro.",Desastre,sports
1,Los primeros días el reloj bien pero pasados 25 dias la pantalla empieza a fallar y verse mal hasta que 3 dias más tarde se pone en blanco y deja de funcionar. Mi consejo es que no lo compreis visto el resultado. Adjunto una foto para comprobar como se ha quedado la pantalla.,No dura ni 1 mes,sports
