Date,DriversKilled,kms,PetrolPrice,law
1969-01-01,107,9059,0.102971811805368,0
1969-02-01,97,7685,0.102362995884646,0
1969-03-01,102,9963,0.102062490635914,0
1969-04-01,87,10955,0.100873300511862,0
1969-05-01,119,11823,0.101019672891934,0
1969-06-01,106,12391,0.10058119170287,0
1969-07-01,110,13460,0.103773981457839,0
1969-08-01,106,14055,0.104076403554621,0
1969-09-01,107,12106,0.103773981457839,0
1969-10-01,134,11372,0.103026401330572,0
1969-11-01,147,9834,0.102730112155946,0
1969-12-01,180,9267,0.101997191539847,0
1970-01-01,125,9130,0.101274563494893,0
1970-02-01,134,8933,0.10070397563972,0
1970-03-01,110,11000,0.100139606658898,0
1970-04-01,102,10733,0.0986211043713023,0
1970-05-01,103,12912,0.0983492854059603,0
1970-06-01,111,12926,0.0980801772105387,0
1970-07-01,120,13990,0.0972792082183714,0
1970-08-01,129,14926,0.0974106238350488,0
1970-09-01,122,12900,0.0974252365245483,0
1970-10-01,183,12034,0.0963806330037465,0
1970-11-01,169,10643,0.0957389559626943,0
1970-12-01,190,10742,0.0951063062359475,0
1971-01-01,134,10266,0.0967359671470176,0
1971-02-01,108,10281,0.0961092224873678,0
1971-03-01,104,11527,0.095367254851379,0
1971-04-01,117,12281,0.0947095915871269,0
1971-05-01,157,13587,0.0941176202174608,0
1971-06-01,148,13049,0.0935321548190638,0
1971-07-01,130,16055,0.0929540494377308,0
1971-08-01,140,15220,0.0928397862431927,0
1971-09-01,136,13824,0.0927247362539862,0
1971-10-01,140,12729,0.0922696509793897,0
1971-11-01,187,11467,0.0917066851479679,0
1971-12-01,150,11351,0.0912620719433678,0
1972-01-01,159,10803,0.090711603254936,0
1972-02-01,143,10548,0.090276328119195,0
1972-03-01,114,12368,0.0899519176272147,0
1972-04-01,127,13311,0.0890996386561615,0
1972-05-01,159,13885,0.0886791925043499,0
1972-06-01,156,14088,0.0881592888670634,0
1972-07-01,138,16932,0.0889020568552906,0
1972-08-01,120,16164,0.0881813314444876,0
1972-09-01,117,14883,0.0889402929599117,0
1972-10-01,170,13532,0.0877266104275971,0
1972-11-01,168,12220,0.087428846437772,0
1972-12-01,198,12025,0.0870354301608856,0
1973-01-01,144,11692,0.0864499193294655,0
1973-02-01,146,11081,0.0858726409121568,0
1973-03-01,109,13745,0.0853982218357345,0
1973-04-01,131,14382,0.083821981233605,0
1973-05-01,151,14391,0.0845907801489325,0
1973-06-01,140,15597,0.0841369037739444,0
1973-07-01,153,16834,0.0837784051341314,0
1973-08-01,140,17282,0.0835107427259604,0
1973-09-01,161,15779,0.0828063938633846,0
1973-10-01,168,13946,0.0811788933269884,0
1973-11-01,152,12701,0.0828536069623417,0
1973-12-01,136,10431,0.0941901186933595,0
1974-01-01,113,11616,0.0923998429510411,0
1974-02-01,100,10808,0.108161478199019,0
1974-03-01,103,12421,0.10721168869023,0
1974-04-01,103,13605,0.114042966782082,0
1974-05-01,121,14455,0.112454115810183,0
1974-06-01,134,15019,0.111316253290611,0
1974-07-01,133,15662,0.11030125221242,0
1974-08-01,129,16745,0.108197177376865,0
1974-09-01,144,14717,0.107027443082328,0
1974-10-01,154,13756,0.104946980916917,0
1974-11-01,156,12531,0.119357749193208,0
1974-12-01,163,12568,0.117621904277373,0
1975-01-01,122,11249,0.133027420877451,0
1975-02-01,92,11096,0.130845243689729,0
1975-03-01,117,12637,0.128318477474772,0
1975-04-01,95,13018,0.123547448292297,0
1975-05-01,96,15005,0.118586811514179,0
1975-06-01,108,15235,0.116337480161004,0
1975-07-01,108,15552,0.11516147558196,0
1975-08-01,106,16905,0.114501197216867,0
1975-09-01,140,14776,0.113522979499817,0
1975-10-01,114,14104,0.111930179432996,0
1975-11-01,158,12854,0.110610528503361,0
1975-12-01,161,12956,0.11527438914664,0
1976-01-01,102,12177,0.113793485966034,0
1976-02-01,127,11918,0.112349582098189,0
1976-03-01,125,13517,0.111753469387189,0
1976-04-01,101,14417,0.109642522576533,0
1976-05-01,97,15911,0.10844089510559,0
1976-06-01,112,15589,0.107884938936114,0
1976-07-01,112,16543,0.109084769191454,0
1976-08-01,113,17925,0.107571450111271,0
1976-09-01,108,15406,0.106164022368002,0
1976-10-01,128,14601,0.106299999323319,0
1976-11-01,154,13107,0.104825313000088,0
1976-12-01,162,12268,0.103451745711815,0
1977-01-01,112,11972,0.101449920129493,0
1977-02-01,79,12028,0.100402316427863,0
1977-03-01,82,14033,0.098862033680192,0
1977-04-01,127,14244,0.102496154313521,0
1977-05-01,108,15287,0.103027431599736,0
1977-06-01,110,16954,0.102178908220655,0
1977-07-01,123,17361,0.0998366428726473,0
1977-08-01,103,17694,0.0926366895833353,0
1977-09-01,97,16222,0.0918149629077569,0
1977-10-01,140,14969,0.090724303768407,0
1977-11-01,165,13624,0.0900212072768793,0
1977-12-01,183,13842,0.0893307058230937,0
1978-01-01,148,12387,0.0884427348717763,0
1978-02-01,111,11608,0.0883525692744791,0
1978-03-01,116,15021,0.0867573619308237,0
1978-04-01,115,14834,0.0849952420449752,0
1978-05-01,100,16565,0.0845679437213488,0
1978-06-01,106,16882,0.0844318988774436,0
1978-07-01,134,18012,0.0843508831482932,0
1978-08-01,125,18855,0.0836009830491076,0
1978-09-01,117,17243,0.0834172630524962,0
1978-10-01,122,16045,0.0827451397987249,0
1978-11-01,153,14745,0.0852352669035281,0
1978-12-01,178,13726,0.0847703028296526,0
1979-01-01,114,11196,0.0844589214084587,0
1979-02-01,94,12105,0.085352119244763,0
1979-03-01,128,14723,0.0875592125175749,0
1979-04-01,119,15582,0.0903829170614837,0
1979-05-01,111,16863,0.0907832937355188,0
1979-06-01,110,16758,0.108742780219868,0
1979-07-01,114,17434,0.114142227335262,0
1979-08-01,118,18359,0.112992933231466,0
1979-09-01,115,17189,0.111320706029796,0
1979-10-01,132,16909,0.109126229280665,0
1979-11-01,153,15380,0.107698459343112,0
1979-12-01,171,15161,0.107601574334496,0
1980-01-01,115,14027,0.103775019202843,0
1980-02-01,95,14478,0.107114170431059,0
1980-03-01,92,16155,0.107374774370757,0
1980-04-01,100,16585,0.111695372689559,0
1980-05-01,95,18117,0.110638184592354,0
1980-06-01,114,17552,0.111855211329895,0
1980-07-01,102,18299,0.109742342683337,0
1980-08-01,104,19361,0.108193931510232,0
1980-09-01,132,17924,0.106255362697951,0
1980-10-01,136,17872,0.104193034427699,0
1980-11-01,117,16058,0.101933972880902,0
1980-12-01,137,15746,0.102793824574291,0
1981-01-01,111,15226,0.10476034144929,0
1981-02-01,106,14932,0.104002535534347,0
1981-03-01,98,16846,0.116655515402424,0
1981-04-01,84,16854,0.11516147558196,0
1981-05-01,94,18146,0.112989543494316,0
