en,es
I hope you're not alone.,Espero que no estés solo.
"When I was taking a bath, the telephone rang.","Mientras me bañaba, sonó el teléfono."
I just need you to come with me.,Solo necesito que vengas conmigo.
Tom wondered how soon Mary would have dinner ready.,Tom se preguntaba cuán pronto María tendría lista la cena.
Tom is waiting for an answer.,Tom está esperando una respuesta.
I like my job very much.,Me gusta mucho mi trabajo.
Do you know where he went?,¿Sabes adónde fue?
The twins helped.,Los gemelos ayudaron.
I'm optimistic.,Soy optimista.
The river has dried up.,El río se ha secado.
Mary is Tom's granddaughter.,Mary es la nieta de Tom.
Tom won three races.,Tres de las carreras fueron ganadas por Tom.
Tom doesn't speak to Mary.,Tom no está hablando con Mary.
I can't stand this pain any more.,No aguanto más este dolor.
You can put it there.,Lo podéis dejar ahí.
I don't snore.,Yo no ronco.
Tom likes country music.,A Tom le gusta la música country.
They can't escape.,No pueden escapar.
Tom would still be alive if he had been more careful.,Tom todavía estaría vivo si hubiese sido más cuidadoso.
Murder is punished by death.,El asesinato es penado de muerte.
You looked like you were surprised.,Luces como si estuvieras sorprendido.
The trout is a freshwater fish.,La trucha es un pez de agua dulce.
I need to practice a little more.,Necesito practicar un poco más.
I like rock.,Me gusta el rock.
There's no limit.,No hay límite.
Please try again.,"Por favor, inténtelo nuevamente."
I'm a salesperson.,Soy dependiente.
She can't even speak her native language without making mistakes.,Ella ni siquiera puede hablar su lengua nativa sin cometer errores.
We saw her enter the room.,La vimos entrar al cuarto.
He spent all of his money on a car.,Se gastó todo su dinero en un coche.
My computer is my best friend.,Mi computadora es mi mejor amiga.
I couldn't stand looking at it.,No podía soportar mirarlo.
I don't know whether Tom has a bicycle.,No sé si Tom tiene una bicicleta.
Give the scraps to the dog.,Dale las sobras al perro.
The nurse gave me a shot.,La enfermera me puso una inyección.
You'll definitely fail if you don't study more.,Está claro que te van a suspender si no estudias más.
We'll do that.,Haremos eso.
Have you guys seen them?,¿Los habéis visto?
Why don't we take him a bottle of wine?,¿Por qué no le traemos una botella de vino?
"Maybe I'll go, and maybe I won't.","Quizás vaya, quizás no."
He got up earlier than usual.,Se levantó antes que de costumbre.
Who do you like the most?,¿Quién te gusta más?
You're important.,Usted importa.
I'm not going to translate it.,No voy a traducirlo.
Tom wanted Mary to clean the bathtub.,Tom quería que Mary limpiara la tina.
What you want and what you need are two different things.,Lo que querés y lo que necesitás son dos cosas distintas.
Is that too much to ask for?,¿Es mucho pedir?
I never thought of that.,Nunca lo había pensado.
"Today, I am feeling a lot better.",Hoy me siento mucho mejor.
She refused my invitation.,Ella declinó mi invitación.
I bought new shoes at the shoe store.,Compré zapatos nuevos en la zapatería.
How many classes do you have on Monday?,¿Cuántas clases tenéis el lunes?
I feel that I should help you.,Siento que debería ayudarle.
How many books does he have?,¿Cuántos libros tiene?
I improvised.,Improvisaba.
What did you say to Tom?,¿Qué le dijiste a Tom?
I know why you're here.,Sé por qué estás aquí.
"Sit down, please.","Por favor, siéntese."
