pain,mucous_membrane,capillary_refill_time,abdominal_distention,pulse,respiratory_rate,rectal_temp,total_protein,outcome
extreme_pain,,more_3_sec,severe,66.0,28.0,38.5,8.4,died
mild_pain,pale_pink,less_3_sec,none,40.0,24.0,38.3,6.7,lived
depressed,dark_cyanotic,more_3_sec,severe,164.0,84.0,39.1,7.2,died
,dark_cyanotic,more_3_sec,,104.0,35.0,37.3,7.4,died
depressed,pale_pink,less_3_sec,slight,,,,,lived
mild_pain,normal_pink,less_3_sec,moderate,48.0,16.0,37.9,7.0,lived
,,less_3_sec,slight,60.0,,,8.3,died
extreme_pain,normal_pink,less_3_sec,none,90.0,,38.3,6.2,lived
mild_pain,bright_red,less_3_sec,none,66.0,12.0,38.1,6.0,lived
depressed,bright_pink,less_3_sec,slight,72.0,52.0,39.1,7.8,lived
mild_pain,normal_pink,less_3_sec,moderate,42.0,12.0,37.2,7.0,lived
alert,bright_pink,less_3_sec,slight,92.0,28.0,38.0,6.1,died
mild_pain,normal_pink,less_3_sec,none,76.0,28.0,38.2,81.0,lived
extreme_pain,pale_cyanotic,less_3_sec,moderate,96.0,48.0,37.6,6.8,died
severe_pain,pale_cyanotic,more_3_sec,moderate,128.0,36.0,,7.8,died
,,,,48.0,24.0,37.5,,lived
depressed,bright_pink,less_3_sec,none,64.0,21.0,37.6,7.0,lived
,dark_cyanotic,,moderate,110.0,35.0,39.4,8.7,lived
extreme_pain,bright_red,more_3_sec,severe,72.0,60.0,39.9,6.1,lived
alert,normal_pink,less_3_sec,none,48.0,16.0,38.4,6.8,lived
depressed,pale_cyanotic,,none,42.0,34.0,38.6,7.2,lived
depressed,,less_3_sec,,130.0,60.0,38.3,70.0,lived
,pale_pink,less_3_sec,moderate,60.0,12.0,38.1,65.0,lived
,,less_3_sec,,60.0,42.0,37.8,,lived
mild_pain,pale_pink,more_3_sec,moderate,72.0,30.0,38.3,7.0,lived
,normal_pink,less_3_sec,slight,48.0,12.0,37.8,5.5,lived
,,,,,,,,died
alert,normal_pink,less_3_sec,none,48.0,,37.7,76.0,lived
extreme_pain,pale_cyanotic,more_3_sec,severe,96.0,30.0,37.7,7.5,died
mild_pain,normal_pink,less_3_sec,moderate,60.0,,37.2,6.6,lived
mild_pain,normal_pink,less_3_sec,,64.0,28.0,38.2,8.6,lived
extreme_pain,pale_cyanotic,more_3_sec,severe,100.0,30.0,,6.6,lived
extreme_pain,,less_3_sec,none,72.0,,37.8,80.0,lived
mild_pain,normal_pink,less_3_sec,slight,52.0,,38.6,6.6,lived
,,,,146.0,96.0,39.2,,died
extreme_pain,dark_cyanotic,more_3_sec,moderate,88.0,,,6.5,died
,,,,150.0,72.0,39.0,8.5,lived
mild_pain,pale_pink,less_3_sec,none,60.0,12.0,38.0,7.0,lived
extreme_pain,pale_cyanotic,more_3_sec,severe,120.0,,,6.5,died
extreme_pain,pale_cyanotic,more_3_sec,severe,60.0,15.0,37.9,7.5,lived
alert,normal_pink,less_3_sec,none,48.0,16.0,37.5,6.5,lived
depressed,pale_pink,more_3_sec,moderate,80.0,44.0,38.9,6.5,died
severe_pain,bright_red,more_3_sec,slight,84.0,48.0,37.2,5.5,died
alert,bright_pink,less_3_sec,slight,46.0,,38.6,9.1,lived
mild_pain,pale_pink,more_3_sec,slight,84.0,36.0,37.4,,died
alert,pale_pink,less_3_sec,none,,,,7.7,lived
,,less_3_sec,,40.0,20.0,38.6,6.4,lived
mild_pain,bright_red,less_3_sec,severe,160.0,20.0,38.6,,died
,,,,,,,6.7,lived
extreme_pain,bright_pink,less_3_sec,moderate,64.0,36.0,,7.7,died
extreme_pain,pale_pink,,moderate,,20.0,,5.9,died
extreme_pain,pale_pink,more_3_sec,severe,96.0,,,,died
depressed,pale_pink,less_3_sec,,48.0,32.0,37.8,6.7,lived
alert,normal_pink,less_3_sec,slight,60.0,,38.5,7.7,lived
mild_pain,bright_pink,less_3_sec,,88.0,22.0,37.8,8.0,died
mild_pain,pale_cyanotic,more_3_sec,slight,64.0,36.0,39.0,7.5,lived
mild_pain,pale_pink,less_3_sec,slight,60.0,36.0,,72.0,lived
mild_pain,bright_red,more_3_sec,none,72.0,,37.9,74.0,lived
alert,normal_pink,less_3_sec,none,54.0,24.0,38.4,7.2,lived
,pale_pink,less_3_sec,,52.0,16.0,,7.2,lived
alert,normal_pink,less_3_sec,,48.0,12.0,38.0,6.3,lived
alert,normal_pink,less_3_sec,none,48.0,28.0,37.8,5.9,lived
,,,,56.0,,37.7,,died
severe_pain,bright_red,less_3_sec,none,52.0,24.0,38.1,7.5,died
,,,,,,,4.9,died
mild_pain,normal_pink,less_3_sec,slight,38.0,20.0,37.6,68.0,lived
alert,normal_pink,less_3_sec,none,52.0,20.0,38.7,77.0,lived
extreme_pain,pale_pink,3,moderate,,,,5.9,died
mild_pain,dark_cyanotic,more_3_sec,slight,96.0,18.0,37.5,8.9,lived
severe_pain,pale_cyanotic,less_3_sec,slight,98.0,35.0,36.4,6.4,died
depressed,normal_pink,less_3_sec,slight,40.0,,37.3,,lived
mild_pain,bright_pink,less_3_sec,none,100.0,80.0,38.1,5.7,lived
extreme_pain,dark_cyanotic,more_3_sec,severe,,24.0,38.0,7.8,died
depressed,bright_pink,more_3_sec,moderate,60.0,80.0,37.8,4.5,lived
mild_pain,pale_pink,3,slight,54.0,30.0,38.0,6.2,lived
extreme_pain,pale_cyanotic,more_3_sec,moderate,88.0,40.0,,7.7,died
mild_pain,bright_red,less_3_sec,slight,64.0,40.0,39.0,7.5,lived
alert,normal_pink,less_3_sec,none,42.0,10.0,38.3,61.0,lived
depressed,,,,52.0,16.0,38.0,86.0,lived
depressed,normal_pink,more_3_sec,moderate,114.0,36.0,40.3,8.1,died
alert,normal_pink,less_3_sec,none,50.0,20.0,38.8,6.2,lived
extreme_pain,normal_pink,less_3_sec,moderate,,,,6.5,died
,pale_pink,less_3_sec,none,48.0,30.0,37.5,8.6,lived
mild_pain,bright_pink,less_3_sec,moderate,48.0,20.0,37.3,69.0,lived
,pale_pink,less_3_sec,none,84.0,36.0,,8.5,lived
alert,pale_pink,less_3_sec,slight,44.0,40.0,37.7,60.0,lived
depressed,dark_cyanotic,more_3_sec,moderate,108.0,51.0,39.6,8.0,lived
alert,normal_pink,less_3_sec,,40.0,16.0,38.2,66.0,lived
depressed,normal_pink,less_3_sec,,40.0,16.0,38.3,57.0,lived
mild_pain,normal_pink,less_3_sec,slight,140.0,68.0,38.0,5.3,lived
severe_pain,pale_pink,less_3_sec,none,52.0,24.0,37.8,6.6,died
depressed,pale_pink,more_3_sec,slight,70.0,36.0,,7.3,lived
,pale_pink,less_3_sec,,52.0,96.0,38.3,6.1,lived
alert,pale_pink,less_3_sec,slight,50.0,32.0,37.3,7.0,lived
mild_pain,bright_pink,less_3_sec,moderate,84.0,40.0,38.4,6.6,died
depressed,bright_red,more_3_sec,slight,70.0,16.0,,7.5,died
