duration,protocol_type,service,flag,count,srv_count,serror_rate,dst_host_srv_count,dst_host_srv_serror_rate,labels
0,b'tcp',b'http',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,1,0.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,0,1.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,0,0.0,1,1.0,b'normal.'
0,b'tcp',b'http',b'SF',0,1,0.0,1,1.0,b'normal.'
0,b'tcp',b'smtp',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'finger',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'udp',b'domain_u',b'SF',0,0,0.0,0,0.0,b'normal.'
1,b'tcp',b'smtp',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'smtp',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'auth',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,1,0.0,0,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,1,1.0,1,1.0,b'normal.'
1,b'tcp',b'http',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,1,1.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,0,0.0,1,0.0,b'normal.'
1,b'tcp',b'smtp',b'SF',0,0,0.0,0,0.0,b'normal.'
1,b'udp',b'domain_u',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'udp',b'domain_u',b'SF',0,0,0.0,1,0.0,b'normal.'
1,b'udp',b'domain_u',b'SF',0,0,0.0,1,0.0,b'normal.'
1,b'tcp',b'telnet',b'SF',0,0,0.0,0,1.0,b'normal.'
1,b'tcp',b'ftp',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'icmp',b'eco_i',b'SF',0,0,0.0,0,0.0,b'normal.'
