question,response
What does OPL stand for in the OPL programming language?,OPL is short for Open Programming Language
Which company developed the OPL programmung language?,Psion Ltd created OPL for the Psion Organiser
Which was the original name for the OPL programming language?,The OPL language was originally named Organiser Programming Language
Who created the OPL programming language?,The OPL language was designed by Colly Myers and implemented by Richard Harrison and Martin Stamp of Psion Ltd.
What was the first implementation of OPL?,The first implementation of the OPL programming language was in 1984 for the Psion Organiser.
What does the REM keyword stand for in OPL?,"REM is short for REMark.  it is used to represent a comment in OPL.  For example:
REM i am a comment"
What does the PROC keyword stand for in OPL?,"PROC is short for Procedure. The PROC keyword is used to indicate the start of a procedure.  For example:
PROC myprog:
	PRINT ""Hello World""
ENDP"
"in OPL, the PRINT statement is used to display output to the screen.  for example: PRINT ""Hello World""","PRINT ""I will be displayed to the screen"""
"in the OPL programming language, keywords should be written in UPPERCASE, for example: PRINT ""PRINT should be written in captial letters""","PRINT ""PRINT is a keyword"""
"in the OPL programming language, comments are represented by the REM keyword.  REM is short for remark. REM is implemented as single line comment, for example:
REM This is an example of a comment",REM This is another example of a comment
"in the OPL programming language, comments can be placed anywhere in a line using the rem keyword.  any text in the line after the rem will be ignored.  for example:
PRINT ""hello world"" rem This is a comment","PRINT ""I am not a comment"" REM I am a comment"
"in OPL, the GET command stops the program until a user presses a key.  This is useful for displaying input, where if the PRINT statement was not followed by a GET command then the message may only be displayed for a short amount of time meaning the user may not see it.  for example: PRINT ""Hello World""
GET","PRINT ""I will be disappear if there is no GET"""
"in OPL, string concatenation is performed using the , operator, for example: PRINT 
""hello "" , ""chris""","PROC main:
	PRINT ""Hello "" , ""World""
	GET
ENDP"
"in OPL, variables local to the procedure are declared using the LOCAL keyword followed by the name of the variable.  by default variables are declared as real numbers (or floats).  = is the assignment operator in OPL. for example: LOCAL pi
pi=3.14","PROC main:
	LOCAL pi
pi=3.14

PRINT pi
	GET
ENDP"
"in OPL, variables can be declared and assigned in a single statement.  = is the assignment operator in OPL, for example: LOCAL pi=3.14","PROC main:
	LOCAL pi=3.14

PRINT pi
	GET
ENDP"
"in OPL, if you wish to declare a local variable as an integer you would postfix the % symbol after the variable name. for example: LOCAL num%=10","PROC main:
	LOCAL num%=10

	PRINT num%
	GET
ENDP"
"in OPL, if you wish to declare a local variable as a string you would postfix the $ symbol after the variable name and include the length of the stirng in parenthesis.  for example: LOCAL firstname$(10)
firstname$=""Chris""","PROC main:
	LOCAL firstname$(10)=""Chris""

	PRINT ""Hello "" , firstname$
	GET
ENDP"
"in OPL, users can input values from the keyboard using the INPUT keyword.  for example: INPUT name$","PROC main:
	LOCAL name$(10)
PRINT ""Enter your name?""
INPUT name$
PRINT ""Hello "" + name$
GET
ENDP"
"in OPL, + is used for addition, - is used for subtraction, / is used for division, and * is used for multiplication. for example: LOCAL calculation%=((10+20-6)*3)/2","PROC calculations:
	LOCAL num1% = 10
	LOCAL num2% = 5

	PRINT ""Addition:"", num1% + num2%
	PRINT ""Subtraction:"", num1% - num2%
	PRINT ""Multiplication:"", num1% * num2%
	PRINT ""Division:"", num1% / num2%

	GET
ENDP"
"OPL supports the following comparison operators, = is equals, < less than, > greater than, >= greater than or equal to, <= less than or equal to, <> not equal to","PROC main:
	LOCAL a, b

	a = 10
	b = 5

	IF a > b THEN
		PRINT ""a > b""
	ENDIF

	IF a < b THEN
		PRINT ""a < b""
	ENDIF

	IF a >= b THEN
		PRINT ""a >= b""
	ENDIF

	IF a <= b THEN
		PRINT ""a <= b""
	ENDIF

	IF a = b THEN
		PRINT ""a = b""
	ENDIF

	IF a <> b THEN
		PRINT ""a <> b""
	ENDIF

	GET
ENDP"
"OPL supports the following bitwise operators: AND, OR, NOT","PROC main:
	LOCAL a, b

	a = 10
	b = 5

	IF a > b THEN
		PRINT ""a > b""
	ENDIF

	IF a < b THEN
		PRINT ""a < b""
	ENDIF

	IF a >= b THEN
		PRINT ""a >= b""
	ENDIF

	IF a <= b THEN
		PRINT ""a <= b""
	ENDIF

	IF a = b THEN
		PRINT ""a = b""
	ENDIF

	IF a <> b THEN
		PRINT ""a <> b""
	ENDIF

	GET
ENDP"
"There is no modulo operator in OPL, so this would need to be calculated using integer division","PROC main:
	LOCAL dividend%, divisor%, remainder%

	dividend% = 17
	divisor% = 5

	remainder% = dividend% % divisor%

	PRINT ""Dividend:"", dividend%
	PRINT ""Divisor:"", divisor%
	PRINT ""Remainder:"", remainder%

	GET
ENDP"
"in OPL, procedures are declared as PROC followed by the name of procedure, and a colon, indicating the code block will follow on the next line. The Procedure block ends with the keyword ENDP  For example PROC hello:
	 PRINT""Hello World""
ENDP","The following is an example of a procedure in OPL: PROC hello:
	PRINT""Hello World""
ENDP"
